Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
"
Expensive but quality
",emenjayell,5.0 out of 5 stars,"

  Much much better than the cheapo copies available on the High Street and with the added benefit of not having a pungent manufacturing smell. You only get what you pay, time will tell if the original lasts longer.  The purchasing process was complicated though. I ordered UK men's size 9 but at the checkout this had changed to size 8. Started again from scratch and same thing happened so was wondering what exactly would turn up and not happy at the prospect of having to break self-isolation to do a return. Thankfully this didn't happy but the supplier needs to sort out this anomaly.

",Size: 6.5/7 UKColour: Lapis,One person found this helpful,Reviewed in the United Kingdom on 19 August 2020
"
Extremely comfortable 🙂 never have them off my feet, fantastic!
",Michelle Gilliard ,5.0 out of 5 stars,"

  I bought these back in August, never have them off my feet!Crocs are sometimes quite difficult to buy judging by the sizes advertised, so I thought I'd hopefully help others buy with confidence!I am a true ladies size 4 (UK) but my size in these particular styled Crocs, I buy a size down which is stated (UK)M3/L4 & (US)4-6.Very confusing, but I hope this helps!I have also just purchased a pair for a friend who is a size 8 (UK). He tried on for size today and I ended up buying him a size M7/L8 which is a size smaller!These Crocs are the most comfortable shoes I have ever worn, ideal for many occasions.In the summer I wear the Crocs Kadee style which are toe bar style, amazing!I hope this helps at least one person! 😘

",Size: 3 UK Men/ 4 UK WomenColour: Black,,Reviewed in the United Kingdom on 28 November 2020
"
Sizing issues
",Kel99,3.0 out of 5 stars,"

  I eventually swapped to Crocs Unisex-Adult's Classic Clogs, (Dusty Green), M 8/W 9 from a M 9/W 10 which I bought as I was told M9 meant Mens 9.  The M 8/W 9 is a UK LARGE men size 9 both in terms of length and width.  Although I'm normally Men 9.5 size, the 9 is a bit large which makes me wonder if I should have got an 8.  Also there is no Mens chart, no UK sizes displayed and no half sizes - all very confusing.

",,3 people found this helpful,Reviewed in the United Kingdom on 29 July 2019
"
Sort out your sizing, Crocs!
",Countess Perpetua,2.0 out of 5 stars,"

  Others have commented on the strange sizing of Crocs, which seems to depend on whether they're made in Italy or China. I already had a pair of size 7s, which are roomy, so I only wear them round the house and garden.  And my son wears them (he's a size 9).  I needed something big to wear following a broken ankle so ordered a pair of black size 7.  They arrived and were visibly much smaller than the ones I already had. Small pair made in Italy, large pair made in China, both purporting to be size 7.  Really annoying.  I exchanged for a size 8 which is about the right size on my 'normal' foot - but I'm not usually an 8!Surely such a well known brand should be able to get its sizing right!

",Size: 6 UK Men/ 7 UK WomenColour: Black,32 people found this helpful,Reviewed in the United Kingdom on 2 April 2013
"
Crocs, nuff  said.
",Planetpeeps,5.0 out of 5 stars,"

  Crocs are, for me, functional footware. I only use them in the garden or when nipping out of the house for a very short while (to the recycling centre for example) when nice shoes would be pointless. They do all that I ask of them, the heel strap is useful when climbing ladders but they are mostly used without, allowing easy shedding when coming inside from a mucky job. They will not keep out moisture but can be hosed down when needed. I do not buy them for their comfort, they are NOT good walking shoes. I do however have at least two pairs in my possession at all times - one lined one not. It took many years to wear out my first pair. I shall hope these last as long.

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 8 October 2020
"
These might not look the best buy omg are they comfortable
",Bob,5.0 out of 5 stars,"

  ProsCan wear in all weathersEasy to cleanComfortableSlip-on or rear strapGood sole gripLong lastingLight weightConsDon't look greatSlippy on shiny wet surfacesPriceyI've had my last pair of these 12 years and they have only just worn out. I use them for putting the bins out, nipping in and out of the house, when on holiday on the beach and in the summer.These are a great pair of easy to wear shoes as long as you don't mind how they look.My feet are overpronationand these give me enough support on long walks. They have never given me blisters.

",Size: 12 UKColour: Black,,Reviewed in the United Kingdom on 3 October 2020
"
Crocs are Crocs!
",Mrs P,5.0 out of 5 stars,"

  Having owned Crocs before, these were exactly what I expected. Bought as slippers for wearing in the house only. I wear with thick socks as the toe box is big and they are wide generally. Although shaped inside, there is relatively little arch support. Plastic is soft and maleable. I find the little bumps inside comfortable. In shoes I'm normally a 3 / 3.5 but smallest here was M4/W6 - a wee tad big but nothing major. Would still recommend.

",Size: 3.5/4.5 UKColour: Garnet,One person found this helpful,Reviewed in the United Kingdom on 20 May 2020
"
Croc Convert (+ Size tip!)
",Cesc15,5.0 out of 5 stars,"

  Ok so I’m obsessed. How are these so comfortable?! Definitely converted to Crocs now. I got them to have something easy & waterproof to slip on to nip out the back garden, and let the dog out, etc. I could definitely live in these, they’re so comfortable.My tip for SIZE! This was the thing I was worried about because wow so much conflicting info, and sizes I’ve never seen before! The thing I did was to look at the size chart in this listing and literally measure my foot with a tape measure! This told me I was actually a 6 and not a 5 as I was expecting; and the clogs fit lovely. I am a 5 - 5.5 usually, never a 6, but it’s ok for these. So I’d advise that for fit

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 5 September 2020
"
A Good exam question
",James,5.0 out of 5 stars,"

  A man walks into a shoe shop. He is normally a size 8 UK or 42 EU, but Crocs sizing varies. Crocs are made in Vietnam, Mexico, Italy, and other countries. Crocs usually size big but sometimes might size small., depending on where they are made. The man likes a neat fit. Amazon, customers, 3rd-party sellers, and Crocs are all confused about sizing. Amazon sometimes list them incorrectly and send out the wrong size. Which size should our customer order?* * * * *So apart from the sizing chaos, I like Crocs. Recommended, if you can pass the exam question above.

",Size: 6/7 UKColour: Lime Punch,,Reviewed in the United Kingdom on 21 November 2020
"
LOVE, LOVE, LOVE my Crocs!
",Cate Jones,5.0 out of 5 stars,"

  LOVE, LOVE, LOVE my Crocs!  I've developed arthritis in all the toes on my right foot, so it can be incredibly painful, but wearing  Crocs is like walking on a cushion, such a relief!  I've had much cheaper versions previously, but you definitely get what you pay for, they didn't last long before the soles wore so thin, I couldn't wear them outside.  I bought a second pair of Crocs for wearing around the house, plus 2 pairs for my husband, he's converted!  The service was excellent, will definitely be recommending them, they're amazing!

",,One person found this helpful,Reviewed in the United Kingdom on 3 July 2019
"
Black Crocs Classic Unisex Adult T-Bar
",L.B,4.0 out of 5 stars,"

  I do like Crocs, How ever...The first pair I bought were too big! They were like boats on my feet. I did keep them though, for wearing in my garden . I read on a review about these shoes that at womens UK size 6 was a 7 ladies and a mens size 6. It was much too big for me.I have now bought the size down 38 /39. Which is also meant to fit a ladies size 6 UK size.  The new ones should be Ok, fingers crossed. As I have another pair I bought from some one else a few years ago. But sadly wasn't able to get to them ,to see the size when buying mine  from here.

",Size: 6 UK Men/ 7 UK WomenColour: Black,3 people found this helpful,Reviewed in the United Kingdom on 31 August 2017
"
Crocs - genuine and good quality
",Kate C,5.0 out of 5 stars,"

  Seem like genuine Crocs. Clompy, unfashionable but invaluable, either for camping or popping into the garden. Makes you realise how worn the old ones were as these have good grip both inside and on the sole! Genuine crocs have the advantage of bring both less slippy and having more durable straps. In the past, I have also taken them into Crocs shops when the kids' posts, holding the straps, have come out and been lost. In each case, these were replaced free of charge which is an exceptional service from Crocs.

",Size: 9 UK Men/ 10 UK WomenColour: Black,,Reviewed in the United Kingdom on 14 August 2020
